"","student_id","student_name","student_score","student_range","student_answer"
"101","20190101","¥à±l³Í",56.25,"rear","BAADBEDEABCBEDDEACDD"
"102","20190102","§Ê¤Ñ½t",43.75,"rear","BAEDEEDCEBCCCCCBACDB"
"103","20190103","¶À®a³Ó",50,"rear","BCCDEEDBADCDADCECADB"
"104","20190104","©ú¬R·¨",37.5,"rear","DCCECEBDDECDACAAACDB"
"105","20190105","ºa³\ªL",87.5,"front","ACCDEEDEDBCDEEDAACDB"
"106","20190106","§õ§õ³¯",81.25,"front","BECDEEDEABCDEADAACDA"
"107","20190107","§õ¹Ú§g",93.75,"top","BCADEEDEABCDEEDAACDB"
"108","20190108","¬Õ²»©y",12.5,"bottom","DDEBBEEDABCDEBEECDEA"
"109","20190109","Á¾¦¶¶À",50,"rear","BCDBEEDDDBCCEBDABCAB"
"110","20190110","®a±MÁ¾",81.25,"front","BCCDDEDDABCDEEDDACDB"
"111","20190111","´¼¦|¦t",0,"bottom","********************"
"112","20190112","·¨Ðw®f",93.75,"top","BCCDEEDEABCDEEDAACDC"
"113","20190113","®aªl¥ò",81.25,"front","BCCDEEDECBDDEEDAABDB"
"114","20190114","¬ã¶À§g",75,"mean","BCCDDEDEABCDEEDADBDA"
"115","20190115","ªL®}¹©",87.5,"front","BCEDEEDEABCDEEDAACDD"
"116","20190116","«~ÄP§±",31.25,"bottom","BCADDEDADAEEAEDADABB"
"117","20190117","ªL¸êµ¾",87.5,"front","BCCDEEDEABCDEEEABCDB"
"118","20190118","³¯½²À¹",75,"mean","BACDBEDEABCDEEEAACAB"
"119","20190119","©M­õ³¯",37.5,"rear","EACDCBAEAEEDEDBAAEDB"
"120","20190120","ªY¬À¬f",81.25,"front","CBCDEEDEADCDEEDAACDB"
"121","20190121","¬ÕªÃëÞ",100,"top","BCCDEEDEABCDEEDAACDB"
"122","20190122","½²µ¾ªL",81.25,"front","BACDEEDEABCDEEDAACBD"
"123","20190123","§õ¦|¬Õ",81.25,"front","BBEDEEDEABCDEADAACDB"
"124","20190124","«H¸­½²",0,"bottom","********************"
"125","20190125","¬Õ¶À±M",81.25,"front","ACBDEEDEABCDEECAACDB"
"126","20190126","¸s¥¿¨^",0,"bottom","********************"
"127","20190127","ªÃªÃ«T",100,"top","BCCDEEDEABCDEEDAACDB"
"128","20190128","¾§³¯ªL",38.75,"rear","DB*DEEDE**CD*CBA*BD*"
"129","20190129","³\§»³¯",68.75,"mean","BDCDEEDEABDDEAAAACDA"
"130","20190130","¼BµÏ«H",56.25,"rear","BCDCEBDEEBCDEEDBEEDB"
"131","20190131","Ä£´¿ÁÂ",0,"bottom","********************"
"132","20190132","¹Å³¯©ú",62.5,"mean","BDCDBEDECBCAEEDAADDD"
"133","20190133","½÷¶ÀÂ@",6.25,"bottom","BC*DBCCB*CD*CCBA*EE*"
"134","20190134","·¨¯q´¿",31.25,"bottom","BDCEEBBEABEDDBACADEB"
"135","20190135","¬f§»¹Å",15,"bottom","**C**BDB*DCEA*D*BAEB"
"136","20190136","®a¼ï¥¿",43.75,"rear","BDCEEEDEADBDAEBDCCEB"
"137","20190137","ªô³Í³°",100,"top","BCCDEEDEABCDEEDAACDB"
"138","20190138","Ä³¬x©y",81.25,"front","BCCDECCEABCDEEDAABDB"
"139","20190139","³¯¶À¹©",43.75,"rear","DCCCEEDECDEDEEDACECD"
"140","20190140","¶À´ï®¦",62.5,"mean","BECCEDDEEBCDECCAACDB"
"141","20190141","¤Ò«³§ù",81.25,"front","BCCDEEEEABCAEEEAACDB"
"142","20190142","®¦ÂE¹Å",25,"bottom","BDCBECDEDBCEABDBEDAE"
"143","20190143","¹FÚ]»¨",87.5,"front","BCDDECDEABCDEEDAACDB"
"144","20190144","Ú{ªLÄ£",43.75,"rear","BCDDDEDEAECECEEBCADB"
"145","20190145","¨Lªô­õ",43.75,"rear","BAADBDDADBEAEEDAAEDB"
"146","20190146","ªL¬x®¦",56.25,"rear","BACBEEDEDBAAEECCACDB"
"147","20190147","µÎ¬R¹Å",42.5,"rear","ADCD**D**ECDECBAABDB"
"148","20190148","¦¨³¯Áo",100,"top","BCCDEEDEABCDEEDAACDB"
"149","20190149","©s³¯µÎ",93.75,"top","BCADEEDEABCDEEDAACDB"
"150","20190150","Ã¹­³¦t",100,"top","BCCDEEDEABCDEEDAACDB"
"151","20190151","ªL¬xªL",100,"top","BCCDEEDEABCDEEDAACDB"
"152","20190152","³¯³\¶²",62.5,"mean","BECDEEDEDBCEAEDACCCB"
"153","20190153","¬x«³¿à",68.75,"mean","BCCDEEAEACCDAEDAECDE"
"154","20190154","¬f§±³Í",37.5,"rear","BDEDEABCEBCDEEEECCDA"
"155","20190155","«T°ª¤¯",81.25,"front","BCBDEEDEABCDEEAAACEB"
"156","20190156","°¶¬f¨^",87.5,"front","BCCDEEDEABCDBEDAACDA"
"157","20190157","°·¦¶«Å",75,"mean","BCADEEDBABCDAEDAACDE"
"158","20190158","æ¢³Ó¶À",62.5,"mean","BCCDEEDEADADDBBBACDB"
"159","20190159","æXÀd¦³",87.5,"front","BCCDAEDEABCDEEDAACBB"
"160","20190160","æX§õ¼B",18.75,"bottom","EECDBACEABDDBECDCACE"
"161","20190161","ªÖ³ì¯q",93.75,"top","BCCDEEDEABCDBEDAACDB"
"162","20190162","·ç®mªL",75,"mean","BCCDEEDAAAADEEDAAEDB"
"163","20190163","ÀA¦¶³¹",56.25,"rear","ABCBEAAEABCDEEDAADDA"
"164","20190164","Ä¬®a»¨",75,"mean","BBCDEEDEACCDEEDCCCDB"
"165","20190165","ÂEªLªL",100,"top","BCCDEEDEABCDEEDAACDB"
"166","20190166","¹©¬x³\",25,"bottom","CEADAEDECBCBECDECABD"
"167","20190167","¬Ó¦¨Â²",100,"top","BCCDEEDEABCDEEDAACDB"
"168","20190168","¼©´_°U",25,"bottom","ADAAAEDAABCAEEEABDCC"
"169","20190169","©M³Ç´ï",68.75,"mean","BADDEEDEABCDCEDAABEB"
"170","20190170","¥àÃý¦t",31.25,"bottom","DCDACCDEABCEEEECDEAB"
"171","20190171","§d¨ØÐw",93.75,"top","BCBDEEDEABCDEEDAACDB"
"172","20190172","®a¬FÀA",12.5,"bottom","C*CDA*B*ABE*BCEEDC*E"
"173","20190173","¥à¤Ò¾ì",18.75,"bottom","BBDCEEEBDDCDBEBDADCC"
"174","20190174","´_±ê´¿",93.75,"top","BCCDEEDEABCDEEDAACAB"
"175","20190175","´¿·_´_",57.5,"rear","BACDCEBEABBAEEDAA*DA"
"176","20190176","«Û§õ¥à",0,"bottom","********************"
"177","20190177","°ªÄ³§õ",100,"top","BCCDEEDEABCDEEDAACDB"
"178","20190178","®m§ùÐw",68.75,"mean","CCCDDEDABDCDEEDAACDB"
"179","20190179","¬f³\»¨",75,"mean","BCEDEEDEABCDEEDADADD"
"180","20190180","©µ§d¯Î",25,"bottom","AAEDBEACABBECEDBABBB"
"181","20190181","ÄP©u½²",31.25,"bottom","DCADCEDEDBDBDEBACDBB"
"182","20190182","»ô·¨ªL",87.5,"front","BCDDEEDEABCBEEDAACDB"
"183","20190183","³¯¥à®a",81.25,"front","BCDDEEEEABCDEEDAAADB"
"184","20190184","©sÃý¨L",93.75,"top","BCCDEEDEADCDEEDAACDB"
"185","20190185","°ê¤å°¶",62.5,"mean","BCCDEEEEEBEDACDAECDB"
"186","20190186","®¦ÂE³¯",37.5,"rear","DBCAEDDCABCDCEAACBDD"
"187","20190187","´¼¥Ã±ê",25,"bottom","CCEDBDDAEACEEADECCDC"
"188","20190188","ªô·¡¸â",0,"bottom","********************"
"189","20190189","ªL«T«í",100,"top","BCCDEEDEABCDEEDAACDB"
"190","20190190","¤ýíõ¨^",81.25,"front","DECDCEDEABCDEEDAACDB"
"191","20190191","¶À³¯¼Ý",87.5,"front","BCCDEEDEABCAEEDAAEDB"
"192","20190192","´¿­õ¤Í",87.5,"front","BCCDCEDEABCDEEDAAADB"
"193","20190193","³\Â×³¯",81.25,"front","BCCDBEDEABCDEEDAADDE"
"194","20190194","«H©É­«",87.5,"front","BACDEEDEABCDEEDAACAB"
"195","20190195","¸­·¨´_",32.5,"bottom","DDECE*D*AB***EAA*CAB"
"196","20190196","¬xëÞªÃ",31.25,"bottom","CDBDEECEDBCEBCDAEADA"
"197","20190197","ªL¹ù­P",62.5,"mean","BBCDEEDEADBCEEDBACCB"
"198","20190198","±ê«T¬À",31.25,"bottom","BDACEEAAADCEDECEDCDB"
"199","20190199","ªéÀdªL",43.75,"rear","EABAEEDEAECDEABCBCDB"
"200","20190200","¤ý«³¬Ó",51.25,"rear","CACDCE*EABADEEEDACDA"
"201","20190201","©uÀ¹¶À",37.5,"rear","BACDBECCDBCCAEBAACAC"
"202","20190202","³\«a«Û",81.25,"front","BCCDDEDEADCDEEDAECDB"
"203","20190203","»¯»²±l",43.75,"rear","ECBCEECDAECDEEDAABAD"
"204","20190204","Â²§d©ý",68.75,"mean","DEEDEEDEABCDEEDAADAB"
"205","20190205","ÀdÁo¥¿",43.75,"rear","CCABBEDDABADCBDAACDC"
"206","20190206","¸s¶À¿A",31.25,"bottom","BCB**CAAABCBEBDCA***"
"207","20190207","¬IªL§õ",5,"bottom","ADAEEEBEC*E*C*DBDD*A"
"208","20190208","¬Õ´¿Ú{",81.25,"front","BCCECEDEABCDEADAACDB"
"209","20190209","«a»²Ä³",43.75,"rear","BBCBEBDAACCCEEDACDCB"
"210","20190210","¦t¨^Ú{",31.25,"bottom","DCCDCAABABBACBDAACED"
"211","20190211","³s¬f©y",42.5,"rear","B****CDEABCD**D***DD"
"212","20190212","©úºa¯q",62.5,"mean","BCCDEDDEBBCDDEAAACCD"
"213","20190213","³¯¨ØÂ×",15,"bottom","*C***E**BEDAABDAB*AB"
"214","20190214","½²ªLµ¾",62.5,"mean","BCCAEBDEABCBEEDDCBDB"
"215","20190215","³¯µ¾ëù",56.25,"rear","BDCDDEDECBBDEBBAACBB"
"216","20190216","«T¯qªL",75,"mean","BCCDEEDDABBDEBDAACCB"
"217","20190217","¤ýíõªÖ",87.5,"front","BCCDEEDEABCDEEEBACDB"
"218","20190218","¦tÚ{¤¯",82.5,"front","BCCDECDEABCDEDD*ACDB"
"219","20190219","µ¾ªL²[",70,"mean","BCC***DEAB*D*EDAA*DB"
"220","20190220","ªô©ýÌÉ",62.5,"mean","DCCEEEDEACCDEDDBECDB"
"221","20190221","«³ªéªô",56.25,"rear","DECDECDEBECDCBDAACDB"
"222","20190222","¬x»¨¸ê",45,"rear","*CCDE*DEABEC*EE*E**B"
"223","20190223","¦t¬IªL",0,"bottom","********************"
"224","20190224","ªl¹©»Ê",83.75,"front","BC**EEDEABCDEEDAACDD"
"225","20190225","­³µ¾©v",87.5,"front","BCBDEEDEABCDAEDAACDB"
"226","20190226","³¯¬Õ¿Î",81.25,"front","BCEDEABEABCDEEDAACDB"
"227","20190227","µ¾ªL©É",0,"bottom","********************"
"228","20190228","Ú{¦¨µÏ",31.25,"bottom","BCCADEDBABAACEDBEEAC"
"229","20190229","¾Ð¾§§õ",31.25,"bottom","ADCEAEBEEBCCCDDACCDC"
"230","20190230","«³ªô§õ",87.5,"front","BCCDEEDEDBCDEEDAACBB"
"231","20190231","©sªLªL",62.5,"mean","BDCDEEDEBBBDCDDAACEB"
"232","20190232","·¡¶À±i",31.25,"bottom","DCEDCCBDAECDEABAABAB"
"233","20190233","¯Îªl¶À",25,"bottom","ACBDDBDEECBDEACBDCCB"
"234","20190234","§Ê°¶Ë¸",81.25,"front","BCCDEEDEAECBCEDAACDB"
"235","20190235","¾§§Ê³¯",46.25,"rear","BCCE****DB*DECD**CDB"
"236","20190236","²[©¾®}",56.25,"rear","BCCBACDCADCDEEEDACDB"
"237","20190237","Ä¬ªLªL",57.5,"rear","BDCDAEDEACCBCB*AACDB"
"238","20190238","»¯³¯®}",81.25,"front","BCCDEEDEABDDECDCACDB"
"239","20190239","ªl±ê¨Ø",40,"rear","BACD***EA*EDEC***CDD"
"240","20190240","ªL§gÂ²",100,"top","BCCDEEDEABCDEEDAACDB"
"241","20190241","ëÞ³Ç®m",48.75,"rear","E*C*EADEAAEBEED**CDB"
"242","20190242","®a¥ò·¨",68.75,"mean","CDCDEEDEABADEADEACDB"
"243","20190243","¯qÐwªL",37.5,"rear","BEEDDDEECBCEEEACDCDB"
"244","20190244","«Å«³¨^",56.25,"rear","BCCAEEDEABBCEEDCAABE"
"245","20190245","¨|íõ»¨",25,"bottom","EBDDAEBCDBCEEEBABADC"
"246","20190246","¥ò¿A³¯",31.25,"bottom","BDCBEEDEECBDBEADAEED"
"247","20190247","§d½²¬À",75,"mean","ECCDEEDEADCDEEBAACAB"
"248","20190248","µü¬À³¯",25,"bottom","BECDEBDADECCBCDABDCA"
"249","20190249","§õ¿Î¨^",62.5,"mean","BCADEDDEBDDAEEDAACDB"
"250","20190250","±M·_»¨",0,"bottom","********************"
"251","20190251","±M©v®a",43.75,"rear","BCAEEDEEABBAEADAACBA"
"252","20190252","¤¯Ã¹µ¾",25,"bottom","CEECEDDEEECBECAEACDA"
"253","20190253","¯qªL«h",87.5,"front","BCCDEEDEABCDCEDACCDB"
"254","20190254","¶§¶À©s",0,"bottom","********************"
"255","20190255","¯q»¨íõ",0,"bottom","********************"
"256","20190256","ªô¤¯¬À",0,"bottom","********************"
"257","20190257","¥à¤p³ì",68.75,"mean","BDCDDCDEABCDECDAACCB"
"258","20190258","¦¶©ú½²",81.25,"front","ACCDEEDEABEDEEDEACDB"
"259","20190259","Àdªé¶²",75,"mean","BCADDEDEABCDEADAACEB"
"260","20190260","¦t»¨®õ",31.25,"bottom","AACBCEDEBEABEBCAACDC"
"261","20190261","°¶¶À¾G",100,"top","BCCDEEDEABCDEEDAACDB"
"262","20190262","­PªÃªl",31.25,"bottom","BDCEECCEEABDBEDAADAD"
"263","20190263","±l¨|¨L",81.25,"front","BCCDEADEABCDEEDECCDB"
"264","20190264","¦¨½±©s",68.75,"mean","DACAEBDEABCDEEDADCDB"
"265","20190265","®m§õ¼B",68.75,"mean","BEDDEEDEAACDBEDBACDB"
"266","20190266","§õ»ôÀA",62.5,"mean","BABBEEDEBBBDEEBAACDB"
"267","20190267","®m©M´¿",77.5,"mean","BCC*EECEABCD*EEAACDB"
"268","20190268","§õ¯q·¶",31.25,"bottom","BDCEAEDCADCDBDDCECBE"
"269","20190269","Ðw¸ê®a",25,"bottom","EBBDECCBEACDAEDABCEC"
"270","20190270","øÊ§õ³¢",62.5,"mean","ECADDEDEAECDEEDAACED"
"271","20190271","¶v¹Å¼y",31.25,"bottom","AAEECEBDDBBDEECAAEDB"
"272","20190272","³¯ÌÉµ¾",43.75,"rear","BBCAEEDEACCDECBDABBC"
"273","20190273","«a»ö®õ",43.75,"rear","CCCDEBDEEBCCADAACCBB"
"274","20190274","¾G·¶«í",75,"mean","BCAAEBDEABCDECDAACDB"
"275","20190275","·×¿«·¨",56.25,"rear","BECECEDCABCEEEEACCDB"
"276","20190276","´¼Â²§õ",68.75,"mean","BCCEECDEEBCCEEDAADDB"
"277","20190277","­P¿«§õ",50,"rear","EBCDECDECBDDEECEECDB"
"278","20190278","²[®a¯³",68.75,"mean","BCCDEEDCABCDCEBACCDA"
"279","20190279","Â×ÂÅ³Ó",100,"top","BCCDEEDEABCDEEDAACDB"
"280","20190280","³ìøÊ´¼",62.5,"mean","ACCDEDDEBBCDDEDADDDB"
"281","20190281","§õ¬Õ§d",68.75,"mean","BCEDEEAEBBCDEDDAADDB"
"282","20190282","¤¯¥à°¶",43.75,"rear","CCBBAEDEEECCCEDADCDB"
"283","20190283","®¦³¯«Å",42.5,"rear","BB*BEADBA*C*EEDAEE*B"
"284","20190284","§»¬Ó³\",68.75,"mean","BCDDEEDBABBDEEDAACED"
"285","20190285","ÃýÚ{ÁÂ",27.5,"bottom","BCEA**DEA*E*D*A*A*DD"
"286","20190286","¬x»Ê§»",68.75,"mean","*CCD*ED*ABCDEADAA*D*"
"287","20190287","³\³\»T",50,"rear","BCCDEEDEEACEEDBBAADC"
"288","20190288","§Ê¹ùªL",68.75,"mean","BCCDDDEEADCDEEDDACDB"
"289","20190289","æX¶À²[",68.75,"mean","ACCDEDDEABADDEDAAEDB"
"290","20190290","¬ãµ¾ªò",87.5,"front","BCCDAEDEABBDEEDAACDB"
"291","20190291","ªLÐw²[",75,"mean","BACDEEDEABABEEDAACDA"
"292","20190292","¦|ÂÅ©¾",100,"top","BCCDEEDEABCDEEDAACDB"
"293","20190293","®}©É¾§",81.25,"front","BCEDEEDEABDDEEDBACDB"
"294","20190294","¦¶«³¯³",0,"bottom","*E****ABBBBDBABB**AC"
"295","20190295","§õ³\³¹",75,"mean","BBCDEDDEDBCDCEDAACDB"
"296","20190296","íõëÞ´¿",68.75,"mean","BCCDEEDCBBCDBBDADCDB"
"297","20190297","´¿¥°©÷",81.25,"front","BCCDEEDEABDDEBBAACDB"
"298","20190298","ÁÂ·ì­õ",68.75,"mean","BBCDEEEEABADEBEAACDB"
"299","20190299","«H³Ç¾§",56.25,"rear","BDCDBEDACBCDEEDDEEDB"
"300","20190300","§Ê³¹®}",31.25,"bottom","BBEDEDDEADCDDBBDCBDE"
"301","20190301","¨}ªL«a",56.25,"rear","BCC**EBE*BCDEC*AAA*B"
"302","20190302","¬f¬I¤Ò",87.5,"front","BCCDEEDEACCDEEDAAEDB"
"303","20190303","½±¼ï¶À",37.5,"rear","BCEDADABEBEAEEDCCCDB"
"304","20190304","ëÞ¹F»¨",43.75,"rear","DAEDEEDAAADDEBDABCBB"
"305","20190305","¶À¤p¦t",43.75,"rear","BCBDCBDDABADEEDEEDDD"
"306","20190306","íõ½²§»",25,"bottom","EDEAEEBDEBDDEADBADDD"
"307","20190307","ªL¥°¾§",62.5,"mean","BCCDCEDBABAEBEDAACDD"
"308","20190308","ªL¥°ªÃ",93.75,"top","BCDDEEDEABCDEEDAACDB"
"309","20190309","©M¸âøÊ",85,"front","BC*DEED*ABCD*EDAACDB"
"310","20190310","ªéªL«Û",25,"bottom","BDEDEEACEBACABEAEDDB"
"311","20190311","ÂE¦t®õ",68.75,"mean","BACCEEDEABCDAEDACBDB"
"312","20190312","Ðw³¯©s",45,"rear","*CCAEBDEAACAEECEDCDA"
"313","20190313","«³©ú³°",31.25,"bottom","DBBDEECEAACECDAAADDC"
"314","20190314","«aÐA¬x",60,"rear","BCE*EEDDBBC*BEDAAC*B"
"315","20190315","¼ä´¼®m",75,"mean","BECDEEDEABCEEEDECCDB"
"316","20190316","¬f³¯«Ø",56.25,"rear","ACCDEDDEABCCECDCEEDB"
"317","20190317","¶À¶ÀªL",75,"mean","BCCDBEDCAEADEEDAACDB"
"318","20190318","¿«¦t¤ý",43.75,"rear","CADDBEDEABBDBECADCDE"
"319","20190319","·¶Ä³³¹",95,"top","BCCDEE*EABCDEEDAACDB"
"320","20190320","ªL«³®a",31.25,"bottom","ACCDEECBABBAECCACAED"
